date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:15:48	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Mar%202025%2014:15:49%20GMT	https://360webservices-contactus.pages.dev/refund-policy.html	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/360webservices-contactus.pages.dev/refund-policy.html	(from https://360webservices-contactus.pages.dev/)
21:15:51	12906/12906	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Mar%202025%2014:15:51%20GMT	https://360webservices-contactus.pages.dev/refund-policy	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/360webservices-contactus.pages.dev/refund-policy.html	(from https://360webservices-contactus.pages.dev/)
21:15:51	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Mar%202025%2014:15:51%20GMT	https://360webservices-contactus.pages.dev/index.html	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/360webservices-contactus.pages.dev/index-2.html	(from https://360webservices-contactus.pages.dev/)
21:15:51	147467/147467	---M--	200	added ('OK')	image/jpeg	etag:%22c375ee69528507d65c4d228987713df6%22	https://360webservices-contactus.pages.dev/files/img/img1.jpg	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/360webservices-contactus.pages.dev/files/img/img1.jpg	(from https://360webservices-contactus.pages.dev/)
21:15:51	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Mar%202025%2014:15:52%20GMT	https://360webservices-contactus.pages.dev/checkout.html	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/360webservices-contactus.pages.dev/checkout-2.html	(from https://360webservices-contactus.pages.dev/)
21:15:53	187376/187376	---M--	200	added ('OK')	image/jpeg	etag:%229ea9cca05e081831fb9cdde4f65719dc%22	https://360webservices-contactus.pages.dev/files/img/product/n1.jpg	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/360webservices-contactus.pages.dev/files/img/product/n1.jpg	(from https://360webservices-contactus.pages.dev/)
21:15:53	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Mar%202025%2014:15:54%20GMT	https://360webservices-contactus.pages.dev/checkout.html	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/360webservices-contactus.pages.dev/checkout-2.html	(from https://360webservices-contactus.pages.dev/)
21:15:53	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Mar%202025%2014:15:54%20GMT	https://360webservices-contactus.pages.dev/checkout.html	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/360webservices-contactus.pages.dev/checkout-2.html	(from https://360webservices-contactus.pages.dev/)
21:15:54	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Mar%202025%2014:15:54%20GMT	https://360webservices-contactus.pages.dev/checkout.html	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/360webservices-contactus.pages.dev/checkout-2.html	(from https://360webservices-contactus.pages.dev/)
21:16:00	131037/131037	---M--	200	added ('OK')	image/jpeg	etag:%22a7f7fc5dc3c74ae491e591831d7e28e1%22	https://360webservices-contactus.pages.dev/files/img/product/n2.jpg	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/360webservices-contactus.pages.dev/files/img/product/n2.jpg	(from https://360webservices-contactus.pages.dev/)
21:16:00	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Mar%202025%2014:16:01%20GMT	https://360webservices-contactus.pages.dev/checkout.html	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/360webservices-contactus.pages.dev/checkout-2.html	(from https://360webservices-contactus.pages.dev/)
21:16:01	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Mar%202025%2014:16:01%20GMT	https://360webservices-contactus.pages.dev/checkout.html	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/360webservices-contactus.pages.dev/checkout-2.html	(from https://360webservices-contactus.pages.dev/)
21:16:01	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Mar%202025%2014:16:02%20GMT	https://360webservices-contactus.pages.dev/checkout.html	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/360webservices-contactus.pages.dev/checkout-2.html	(from https://360webservices-contactus.pages.dev/)
21:16:02	144578/144578	---M--	200	added ('OK')	image/jpeg	etag:%2264ce55e1d174547787f4cd01239d46e3%22	https://360webservices-contactus.pages.dev/files/img/product/n3.jpg	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/360webservices-contactus.pages.dev/files/img/product/n3.jpg	(from https://360webservices-contactus.pages.dev/)
21:16:02	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Mar%202025%2014:16:03%20GMT	https://360webservices-contactus.pages.dev/checkout.html	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/360webservices-contactus.pages.dev/checkout-2.html	(from https://360webservices-contactus.pages.dev/)
21:16:03	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Mar%202025%2014:16:03%20GMT	https://360webservices-contactus.pages.dev/checkout.html	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/360webservices-contactus.pages.dev/checkout-2.html	(from https://360webservices-contactus.pages.dev/)
21:16:03	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2005%20Mar%202025%2014:16:04%20GMT	https://360webservices-contactus.pages.dev/checkout.html	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/360webservices-contactus.pages.dev/checkout-2.html	(from https://360webservices-contactus.pages.dev/)
21:16:04	186495/186495	---M--	200	added ('OK')	image/jpeg	etag:%2280a01e9491709f7226ac95991750d313%22	https://360webservices-contactus.pages.dev/files/img/product/n4.jpg	C:/Users/Akkha/Downloads/norton-ecom/norton-ecomm/360webservices-contactus.pages.dev/files/img/product/n4.jpg	(from https://360webservices-contactus.pages.dev/)
